name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ngc386,1,7,31.29,32,21,43.2
ngc387,1,7,33.06,32,23,28.0
ngc388,1,7,47.15,32,18,35.9
ngc389,1,8,29.93,39,41,43.6
ngc390,1,7,53.75,32,25,59.2
ngc391,1,7,22.58,0,55,33.4
ngc392,1,8,23.46,33,8,1.0
ngc393,1,8,36.95,39,38,39.5
ngc394,1,8,26.05,33,8,52.7
ngc395,1,5,8.32,-71,59,26.6
ngc396,1,8,8.4,4,31,51.1
ngc397,1,8,31.1,33,6,33.1
ngc398,1,8,53.67,32,30,52.3
ngc399,1,8,59.2,32,38,3.5
ngc400,1,9,2.49,32,43,56.7
ngc401,1,9,7.72,32,45,33.6
ngc402,1,9,13.36,32,48,22.5
ngc403,1,9,14.16,32,45,7.7
ngc404,1,9,27.02,35,43,5.3
ngc405,1,8,34.11,-46,40,6.6
ngc406,1,7,25.05,-69,52,45.0
ngc407,1,10,36.56,33,7,35.4
ngc408,1,10,51.09,33,9,4.6
ngc409,1,9,33.22,-35,48,20.2
ngc410,1,10,58.9,33,9,6.8
ngc411,1,7,55.67,-71,46,6.1
ngc412,1,10,20.48,-20,0,56.9
ngc413,1,12,31.4,-2,47,36.3
ngc414,1,11,17.8,33,6,46.0
ngc0414 ned01,1,11,17.48,33,6,50.0
ngc0414 ned02,1,11,17.95,33,6,44.1
ngc415,1,10,5.69,-35,29,26.8
ngc416,1,7,58.5,-72,21,18.2
ngc417,1,11,5.56,-18,8,54.0
ngc418,1,10,35.62,-30,13,16.6
ngc419,1,8,17.17,-72,53,0.6
ngc420,1,12,9.65,32,7,23.4
ngc421,1,12,14.46,32,7,24.6
ngc422,1,9,25.39,-71,46,2.0
ngc423,1,11,22.21,-29,14,4.3
ngc424,1,11,27.63,-38,5,0.5
ngc425,1,13,2.56,38,46,6.1
ngc426,1,12,48.61,-0,17,24.7
ngc427,1,12,19.24,-32,3,40.2
ngc428,1,12,55.71,0,58,53.6
ngc429,1,12,57.42,-0,20,42.0
ngc430,1,12,59.93,-0,15,9.0
ngc431,1,14,4.54,33,42,15.1
ngc432,1,11,46.26,-61,31,39.5
ngc433,1,15,9.26,60,7,32.8
ngc434,1,12,14.13,-58,14,52.7
ngc0434a,1,12,29.62,-58,12,34.2
ngc435,1,13,59.85,2,4,17.2
ngc436,1,15,57.78,58,49,1.6
ngc437,1,14,22.29,5,55,36.8
ngc438,1,13,34.16,-37,54,5.9
ngc439,1,13,47.26,-31,44,49.7
ngc440,1,12,48.5,-58,16,56.2
ngc441,1,13,51.26,-31,47,18.0
ngc442,1,14,38.65,-1,1,14.3
ngc443,1,15,7.59,33,22,38.4
ngc444,1,15,49.6,31,4,48.9
ngc445,1,14,52.48,1,55,2.8
ngc446,1,16,3.61,4,17,38.8
ngc447,1,15,37.63,33,4,3.8
ngc448,1,15,16.52,-1,37,34.3
ngc449,1,16,7.25,33,5,22.4
ngc450,1,15,30.44,-0,51,39.5
ngc451,1,16,12.4,33,3,50.8
ngc452,1,16,14.83,31,2,1.8
ngc453,1,16,17.42,33,0,51.0
ngc454,1,14,22.53,-55,23,55.3
ngc0454 ned01,1,14,21.81,-55,24,5.1
ngc0454 ned02,1,14,24.93,-55,23,49.5
ngc455,1,15,57.64,5,10,43.3
ngc456,1,13,44.38,-73,17,25.9
ngc457,1,19,32.65,58,17,26.5
ngc458,1,14,53.47,-71,33,9.7
ngc459,1,18,8.19,17,33,44.6
ngc460,1,14,38.6,-73,16,27.1
ngc461,1,17,20.64,-33,50,27.2
ngc462,1,18,10.99,4,13,33.6
ngc463,1,18,58.25,16,19,32.7
ngc464,1,19,26.68,34,57,19.5
ngc465,1,15,41.35,-73,20,4.6
ngc466,1,17,13.26,-58,54,35.8
ngc467,1,19,10.13,3,18,3.0
ngc468,1,19,48.5,32,46,4.0
ngc469,1,19,32.95,14,52,19.0
ngc470,1,19,44.85,3,24,35.8
ngc471,1,19,59.59,14,47,10.4
ngc472,1,20,28.69,32,42,32.5
ngc473,1,19,55.07,16,32,40.9
ngc474,1,20,6.69,3,24,55.4
ngc475,1,20,2.0,14,51,39.8
ngc476,1,20,19.9,16,1,12.5
ngc477,1,21,20.37,40,29,17.5
ngc478,1,20,9.29,-22,22,38.6
ngc479,1,21,15.73,3,51,44.2
ngc480,1,20,34.39,-9,52,48.8
ngc481,1,21,12.51,-9,12,40.4
ngc482,1,20,20.42,-40,57,58.0
ngc483,1,21,56.3,33,31,15.5
ngc484,1,19,34.73,-58,31,27.5
ngc485,1,21,27.6,7,1,5.1
ngc486,1,21,43.04,5,20,46.7
ngc487,1,21,55.09,-16,22,13.3
ngc488,1,21,46.85,5,15,24.2
ngc489,1,21,53.9,9,12,23.6
ngc490,1,22,2.87,5,22,1.9
ngc491,1,21,20.43,-34,3,47.8
ngc0491a,1,20,4.67,-33,53,58.2
ngc492,1,22,13.56,5,25,1.4
ngc493,1,22,8.99,0,56,43.3
ngc494,1,22,55.4,33,10,26.0
ngc495,1,22,56.0,33,28,18.0
ngc496,1,23,11.6,33,31,45.0
ngc497,1,22,23.78,-0,52,30.7
ngc498,1,23,11.28,33,29,21.7
ngc499,1,23,11.5,33,27,38.0
