name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ic92,1,19,48.5,32,46,4.0
ic93,1,19,2.34,-17,3,37.4
ic94,1,20,5.49,32,43,2.4
ic95,1,19,17.88,-12,34,26.9
ic96,1,20,33.22,29,37,2.1
ic97,1,20,2.0,14,51,39.8
ic98,1,20,54.88,-12,36,17.0
ic99,1,22,27.36,-12,57,9.2
ic100,1,22,53.96,-4,38,34.9
ic101,1,24,8.55,9,55,49.9
ic102,1,24,26.33,9,53,11.6
ic103,1,24,36.44,2,2,39.3
ic104,1,24,33.6,-1,27,24.2
ic105,1,24,46.25,2,4,31.0
ic106,1,24,41.65,-1,35,13.5
ic107,1,25,24.66,14,51,52.6
ic108,1,24,38.96,-12,38,8.1
ic109,1,25,13.09,2,3,58.4
ic110,1,25,46.6,33,30,52.9
ic111,1,26,0.13,33,29,49.6
ic112,1,26,3.02,11,26,34.7
ic113,1,26,25.5,19,11,31.1
ic114,1,26,22.58,9,54,35.8
ic115,1,26,54.44,19,12,52.9
ic116,1,26,50.57,-4,58,56.2
ic117,1,27,25.42,-1,54,46.7
ic118,1,27,36.04,-4,59,50.9
ic119,1,27,55.02,-2,2,25.7
ic120,1,28,12.96,-1,54,55.9
ic121,1,28,21.78,2,30,46.9
ic122,1,28,13.2,-14,50,20.0
ic123,1,28,51.46,2,26,47.2
ic124,1,29,9.08,-1,56,13.3
ic125,1,29,18.35,-13,16,47.4
ic126,1,29,47.86,-1,59,1.5
ic127,1,29,47.61,-6,58,48.2
ic128,1,31,23.87,-12,37,27.8
ic129,1,31,31.26,-12,39,15.8
ic130,1,31,28.74,-15,35,29.8
ic131,1,33,14.58,30,45,11.7
ic132,1,33,15.92,30,56,44.2
ic133,1,33,15.18,30,53,18.2
ic134,1,33,25.0,30,54,2.4
ic135,1,34,15.53,30,37,12.3
ic136,1,34,16.04,30,33,43.4
ic137,1,33,38.91,30,31,21.0
ic138,1,33,1.98,-0,41,23.4
ic139,1,33,59.24,30,34,2.8
ic140,1,33,58.17,30,33,0.5
ic141,1,32,51.71,-14,48,52.6
ic142,1,33,55.53,30,45,28.1
ic143,1,34,10.93,30,46,35.1
ic144,1,37,40.85,-13,18,52.8
ic145,1,38,38.48,0,44,29.4
ic146,1,38,39.79,-17,49,52.3
ic147,1,39,59.75,-14,51,45.5
ic148,1,42,26.97,13,58,37.3
ic149,1,42,25.38,-16,18,1.5
ic150,1,42,57.52,4,12,0.6
ic151,1,43,57.47,13,12,9.4
ic152,1,44,7.39,13,2,9.1
ic153,1,44,36.21,12,37,44.2
ic154,1,45,16.27,10,38,57.1
ic155,1,47,32.33,60,36,39.0
ic156,1,45,29.21,10,33,9.8
ic157,1,45,42.4,12,52,24.0
ic158,1,45,53.52,-6,56,8.5
ic159,1,46,25.05,-8,38,11.8
ic160,1,46,29.56,-13,14,51.8
ic161,1,48,43.74,10,30,28.4
ic162,1,48,53.43,10,31,17.8
